Month,Duration of job search,State and territory (STT): ASGS (2011),Unemployed total ('000)
Jan-1991,Under 4 weeks (under 1 month),New South Wales,47.4735511
Jan-1991,Under 4 weeks (under 1 month),Victoria,39.751198
Jan-1991,Under 4 weeks (under 1 month),Queensland,30.897225
Jan-1991,Under 4 weeks (under 1 month),South Australia,12.3050881
Jan-1991,Under 4 weeks (under 1 month),Western Australia,20.8357169
Jan-1991,Under 4 weeks (under 1 month),Tasmania,3.4656503
Jan-1991,Under 4 weeks (under 1 month),Northern Territory,2.5613283
Jan-1991,Under 4 weeks (under 1 month),Australian Capital Territory,3.6148743
Jan-1991,4 weeks and under 13 weeks (1-3 months),New South Wales,70.5718062
Jan-1991,4 weeks and under 13 weeks (1-3 months),Victoria,66.6197938
Jan-1991,4 weeks and under 13 weeks (1-3 months),Queensland,52.7001877
Jan-1991,4 weeks and under 13 weeks (1-3 months),South Australia,20.6189082
Jan-1991,4 weeks and under 13 weeks (1-3 months),Western Australia,24.5028988
Jan-1991,4 weeks and under 13 weeks (1-3 months),Tasmania,6.2556123
Jan-1991,4 weeks and under 13 weeks (1-3 months),Northern Territory,2.4427655
Jan-1991,4 weeks and under 13 weeks (1-3 months),Australian Capital Territory,5.6829306
Jan-1991,13 weeks and under 26 weeks (3-6 months),New South Wales,27.1073788
Jan-1991,13 weeks and under 26 weeks (3-6 months),Victoria,34.4547233
Jan-1991,13 weeks and under 26 weeks (3-6 months),Queensland,21.4237638
Jan-1991,13 weeks and under 26 weeks (3-6 months),South Australia,11.8184725
Jan-1991,13 weeks and under 26 weeks (3-6 months),Western Australia,11.533012
Jan-1991,13 weeks and under 26 weeks (3-6 months),Tasmania,3.0877745
Jan-1991,13 weeks and under 26 weeks (3-6 months),Northern Territory,0.7026783
Jan-1991,13 weeks and under 26 weeks (3-6 months),Australian Capital Territory,1.239407
Jan-1991,26 weeks and under 52 weeks (6-12 months),New South Wales,27.9317407
Jan-1991,26 weeks and under 52 weeks (6-12 months),Victoria,30.8279862
Jan-1991,26 weeks and under 52 weeks (6-12 months),Queensland,16.911736
Jan-1991,26 weeks and under 52 weeks (6-12 months),South Australia,11.4797512
Jan-1991,26 weeks and under 52 weeks (6-12 months),Western Australia,13.0404713
Jan-1991,26 weeks and under 52 weeks (6-12 months),Tasmania,3.2381294
Jan-1991,26 weeks and under 52 weeks (6-12 months),Northern Territory,1.5110813
Jan-1991,26 weeks and under 52 weeks (6-12 months),Australian Capital Territory,1.1864
Jan-1991,52 weeks and under 104 weeks (1-2 years),New South Wales,27.5647629
Jan-1991,52 weeks and under 104 weeks (1-2 years),Victoria,17.3071715
Jan-1991,52 weeks and under 104 weeks (1-2 years),Queensland,10.5545172
Jan-1991,52 weeks and under 104 weeks (1-2 years),South Australia,6.7562786
Jan-1991,52 weeks and under 104 weeks (1-2 years),Western Australia,7.0415058
Jan-1991,52 weeks and under 104 weeks (1-2 years),Tasmania,3.4722727
Jan-1991,52 weeks and under 104 weeks (1-2 years),Northern Territory,1.143201
Jan-1991,52 weeks and under 104 weeks (1-2 years),Australian Capital Territory,0.5398635
Jan-1991,104 weeks and over (2 years and over),New South Wales,28.1784376
Jan-1991,104 weeks and over (2 years and over),Victoria,8.9913146
Jan-1991,104 weeks and over (2 years and over),Queensland,7.5446835
Jan-1991,104 weeks and over (2 years and over),South Australia,9.4967476
Jan-1991,104 weeks and over (2 years and over),Western Australia,3.7458472
Jan-1991,104 weeks and over (2 years and over),Tasmania,2.888133
Jan-1991,104 weeks and over (2 years and over),Australian Capital Territory,0.3028561
Feb-1991,Under 4 weeks (under 1 month),New South Wales,52.4928156
Feb-1991,Under 4 weeks (under 1 month),Victoria,41.1752481
Feb-1991,Under 4 weeks (under 1 month),Queensland,30.4786989
Feb-1991,Under 4 weeks (under 1 month),South Australia,13.2301151
Feb-1991,Under 4 weeks (under 1 month),Western Australia,18.6462769
Feb-1991,Under 4 weeks (under 1 month),Tasmania,3.2012639
Feb-1991,Under 4 weeks (under 1 month),Northern Territory,1.677637
Feb-1991,Under 4 weeks (under 1 month),Australian Capital Territory,2.758694
Feb-1991,4 weeks and under 13 weeks (1-3 months),New South Wales,71.7528078
Feb-1991,4 weeks and under 13 weeks (1-3 months),Victoria,68.1807376
Feb-1991,4 weeks and under 13 weeks (1-3 months),Queensland,52.3854287
Feb-1991,4 weeks and under 13 weeks (1-3 months),South Australia,19.7642084
